hotelName,routeNumber,boardingLocation
Marriott Atlanta Northwest at Galleria,13,Upper International Blvd. next to Mercedes-Benz Stadium
Marriott Atlanta Perimeter Center,10,Upper International Blvd. next to Mercedes-Benz Stadium
Marriott Marquis Atlanta,1,Outside Building A-B
Marriott Suites Atlanta Midtown,7,Upper International Blvd. next to Mercedes-Benz Stadium
Omni Atlanta at CNN Center *Headquarters Hotel*,No Shuttle,Walk to hotel
Regency Suites Hotel Midtown Atlanta,7,Upper International Blvd. next to Mercedes-Benz Stadium
Renaissance Atlanta Midtown,6,Outside Building A-B
Renaissance Atlanta Waverly Hotel & Convention Center,11,Upper International Blvd. next to Mercedes-Benz Stadium
Renaissance Concourse Atlanta Airport,20,Outside Building C
Residence Inn Atlanta Airport North/Virginia Avenue,19,Outside Building C
Residence Inn Atlanta Buckhead,18,Outside Building C
Residence Inn Atlanta Cumberland/Galleria,12,Upper International Blvd. next to Mercedes-Benz Stadium
Residence Inn Atlanta Downtown,4,Outside Building A-B
Residence Inn Atlanta Midtown at Georgia Tech,7,Upper International Blvd. next to Mercedes-Benz Stadium
"Residence Inn Atlanta Midtown, Peachtree at 17th ",8,Upper International Blvd. next to Mercedes-Benz Stadium
"Ritz-Carlton, Atlanta",4,Outside Building A-B
"Ritz-Carlton, Buckhead",15,Outside Building C
Sheraton Atlanta Downtown,4,Outside Building A-B
Sheraton Suites Galleria Atlanta,12,Upper International Blvd. next to Mercedes-Benz Stadium
SpringHill Suites Atlanta Buckhead,15,Outside Building C
St. Regis Atlanta,17,Outside Building C
"TWELVE Atlantic Station, An Autograph Collection",8,Upper International Blvd. next to Mercedes-Benz Stadium
"TWELVE Centennial Park, An Autograph Collection",2,Outside Building A-B
W Atlanta Buckhead,16,Outside Building C
W Atlanta Downtown,2,Outside Building A-B
W Atlanta Midtown,7,Upper International Blvd. next to Mercedes-Benz Stadium
Westin Atlanta Perimeter North,10,Upper International Blvd. next to Mercedes-Benz Stadium
Westin Buckhead Atlanta,16,Outside Building C
Westin Peachtree Plaza,2,Outside Building A-B
